source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
7.04627E+16,164.9243084,-21.50957129,56.99008217,26.62905926,19.86191439,0.112253833,-47.40423231,0.052272167,4.61627977,0.652299791,7.442274158,0.05209844,11.465447,11.95074,10.858204,134.3675305,-0.588817365,6.578259963,-120.7071379,32.5145498,-49.26686675
6.82682E+16,165.7360579,-24.05562223,55.73575274,24.22917686,20.01297187,0.233757087,-46.93943986,0.187847071,,,7.442433828,0.135388334,17.12921,18.863594,15.809039,134.3646478,-0.520385619,6.292974709,-118.9124313,30.23091882,-54.77028217
6.65607E+16,167.1012931,-22.7346628,57.72778185,24.36533322,18.89694689,0.190735912,-47.26605626,0.12540977,,,7.442459775,0.112838918,16.707539,18.368988,15.440445,134.3641794,-0.711095236,6.313209909,-120.7975002,27.66364969,-51.92705582
6.83176E+16,165.4368537,-23.7096751,55.76235953,24.66956454,19.58404708,0.104716203,-46.17762558,0.056807848,5.512555925,0.637087184,7.442522674,0.052194068,11.690341,12.196871,11.055732,134.3630438,-0.50525029,5.722046534,-119.0694279,30.9336965,-54.02781974
6.42505E+16,167.0128697,-27.02045704,54.53674808,21.24679822,20.84153318,0.065787139,-45.19653937,0.045799934,,,7.442933777,0.035043573,14.176367,15.234599,13.159538,134.3556224,-0.246414279,5.355071182,-116.6282429,26.89837089,-61.03903554
6.55527E+16,169.2314668,-22.0152563,59.8291724,23.52320208,19.18429419,0.241866645,-46.75564644,0.130517351,,,7.443019541,0.147149768,16.79287,18.543184,15.493802,134.3540742,-0.617558522,6.023309383,-122.3639774,23.27272903,-50.3632245
6.83786E+16,165.0804355,-23.53470994,55.6194655,25.01660209,20.35451756,0.256335657,-47.01407679,0.114824223,,,7.443178193,0.123012902,15.28962,16.663794,14.130884,134.3512105,-0.478964834,6.40772666,-119.0230836,31.71332157,-53.6471673
6.46798E+16,166.0718776,-25.87986031,54.6697641,22.65941592,20.42371549,0.153107511,-45.58649397,0.112252587,,,7.443498013,0.076163776,6.6866565,6.704049,6.6965756,134.3454379,-0.336635311,5.509335731,-117.3181717,29.09463894,-58.63996289
6.5278E+16,166.1994848,-23.59681384,56.4177936,24.28891366,22.10835874,0.227595747,-45.4874312,0.142862304,,,7.443863455,0.123194917,16.80349,17.806818,15.506402,134.3388425,-0.092908355,5.79215151,-119.5521903,29.36617655,-53.77570134
6.52159E+16,166.4853941,-23.88102031,56.4220349,23.90257887,19.21538102,1.190300465,-48.46184133,0.917311594,,,7.444402282,0.638545445,19.731743,19.584122,17.945667,134.329119,-0.797039555,7.207321283,-119.4277637,28.70447331,-54.38174959
6.58237E+16,168.0714177,-22.27661433,58.78745439,24.08390739,18.58092787,0.195124261,-45.45235634,0.106909943,,,7.444458134,0.116724554,15.672089,17.179811,14.46478,134.3281112,-0.566429236,5.111709029,-121.6181887,25.69253796,-50.92102828
6.51255E+16,165.774206,-24.93017922,55.13134217,23.55045515,21.90515753,0.083460498,-46.37565361,0.06498153,,,7.444586091,0.052161142,14.4285,15.551236,13.374674,134.3258024,-0.195138629,6.306967828,-118.0741918,29.93413674,-56.62026025
